Name,Birth Year
Homer,1986
Marge,1989
Bart,2015
Lisa,2017
Maggie,2024
Abraham,1942
Ned,1964
Maude,1967
Rod,2017
Todd,2019
Milhouse,2015
Nelson,2013
Krusty,1970
Apu,1981
Manjula,1983
Moe,1975
Barney,1985
Lenny,1985
Carl,1985
Charles,1921
Waylon,1985
Seymour,1978
Edna,1979
Willie,1977
Ralph,2017
Clancy,1980
Lou,1983
Eddie,1983
Robert,1983
Cecil,1985
Patty,1982
Selma,1982
Timothy,1977
Helen,1979
Julius,1973
Nick,1987
Martin,2015
Sherri,2015
Terri,2015
Jimbo,2011
Dolph,2011
Kearney,2009
Agnes,1947
Otto,1993
Snake,1987
Hans,1940
Kirk,1980
Luann,1981
Gil,1970
Lionel,1987
Troy,1984
Kent,1975
Rainier,1967
Stu,1980
